feature,importance
cat__agent_3,0.0017204252407920844
cat__company_174,0.0016817807549704886
cat__company_219,0.001657883524224574
cat__country_KWT,0.0016106042587843007
cat__agent_330,0.0015943203215134326
cat__country_QAT,0.00155522398382094
cat__company_238,0.0015245676435550195
cat__agent_4,0.001522897820836373
cat__agent_215,0.001521076510995538
cat__market_segment_Aviation,0.0015185621653854104
cat__agent_45,0.0014973787223820294
cat__agent_111,0.0014875017912307936
cat__reserved_room_type_E,0.0014871117490832019
cat__country_CHL,0.0014694967296406294
cat__agent_154,0.0014277733262687245
cat__agent_95,0.0014080732083912061
cat__agent_91,0.001403865514317632
cat__reserved_room_type_A,0.001398396016592763
cat__agent_99,0.0013661602967274047
cat__company_148,0.0013293188563841942
cat__company_9,0.0013187347857951818
cat__arrival_date_month_March,0.001315357607006514
cat__customer_type_Transient-Party,0.0013125255017506447
cat__arrival_date_month_November,0.0013058210998306405
cat__country_GBR,0.0013034453043002994
cat__company_40,0.0012879018462939186
cat__country_BGD,0.0012790090759811955
cat__company_46,0.0012772781196682965
cat__company_209,0.0012757101202912043
cat__country_ALB,0.0012753082954588678
cat__agent_98,0.0012705185414371087
cat__agent_6,0.001264849333690337
cat__agent_66,0.0012644420412721126
cat__country_SVN,0.0012448981126239433
num__stays_in_week_nights,0.0012402511744308146
cat__agent_24,0.0012360968992985474
cat__country_LBY,0.0012233824841629075
cat__agent_281,0.0012200635988210663
cat__country_MDV,0.001216891909435851
num__total_nights,0.0011980015112481232
cat__arrival_date_month_October,0.001192887617961413
num__previous_cancellations,0.0011753342272465864
cat__country_CRI,0.0011721541992447315
cat__country_ROU,0.0011481001055994263
cat__company_67,0.0011445339412840309
cat__agent_133,0.0011286389375823947
cat__company_263,0.0011254775369375447
cat__agent_82,0.0010919071780884696
cat__company_215,0.0010784384429860093
cat__company_197,0.0010690725650471416
cat__agent_112,0.0010558278292596823
cat__company_91,0.0010470829976469288
cat__company_405,0.0010299763645967132
cat__agent_53,0.001026409856123371
cat__agent_153,0.0009762138699026149
cat__agent_74,0.0009625002708798869
cat__arrival_date_month_June,0.0009594585501058896
cat__company_227,0.0009457174293283298
cat__country_CMR,0.0008859667201474853
cat__agent_104,0.0008794605328715678
cat__country_LBN,0.0008619213140699327
cat__country_HUN,0.0008545734258776558
cat__country_PHL,0.0008414777596151201
cat__agent_151,0.000786635809166236
cat__distribution_channel_TA/TO,0.0007799464352520756
cat__agent_Missing,0.0007639199831808698
cat__company_202,0.0007627362360763639
cat__company_365,0.0007581692778403096
cat__country_TWN,0.0007499944447913643
cat__company_127,0.000731399786945389
cat__agent_326,0.0007253383090739503
cat__arrival_date_month_April,0.0007252440948700427
cat__country_MYS,0.0007203714510161243
num__is_family,0.0007185040509000959
cat__arrival_date_month_September,0.0007120951622914325
cat__agent_50,0.0007094610045049058
cat__market_segment_Online TA,0.0006895209155018472
cat__agent_150,0.0006829911570415744
cat__agent_128,0.0006612508481083095
cat__company_408,0.0006588556924129347
cat__reserved_room_type_G,0.0006337526850880662
cat__agent_33,0.0006312099829826292
cat__arrival_date_month_February,0.0006226137937423022
