feature,importance
cat__company_227,0.001929398634415075
num__has_booking_changes,0.0019223645197236322
cat__company_197,0.0019219834059650094
cat__country_BRA,0.0019198484560506359
cat__company_46,0.0019090884852249082
cat__agent_133,0.0019072416544151892
cat__agent_34,0.0019051204842070334
cat__country_AUS,0.001895581643117184
cat__agent_99,0.0018488081560492193
cat__agent_215,0.0018376703303851832
cat__agent_53,0.0018297668069558383
cat__country_CMR,0.0017535408552443194
cat__agent_91,0.0017377954265952536
cat__agent_153,0.0017264194658559333
cat__agent_281,0.0016998419590116
cat__agent_15,0.001698852054178094
cat__arrival_date_month_January,0.0016901671151294268
cat__agent_112,0.0016823531408073095
cat__arrival_date_month_August,0.001679687891254982
cat__agent_74,0.001633941489212404
cat__customer_type_Group,0.0015947954458727562
cat__agent_82,0.001586503398052445
cat__company_127,0.0015842453794411473
cat__distribution_channel_GDS,0.0015502528611749725
cat__reserved_room_type_F,0.0015393455259553625
num__total_of_special_requests,0.0014859091420842097
cat__market_segment_Aviation,0.0014512730944723426
cat__company_407,0.0014436382499129245
cat__country_CHL,0.0014337047258632582
cat__country_TUR,0.0014059272897682946
cat__distribution_channel_TA/TO,0.0014037781005811906
cat__country_LBN,0.0014030358538098685
cat__market_segment_Online TA,0.0013816753967322252
cat__company_67,0.0013760299742479323
cat__country_MAR,0.0013681660094214208
cat__distribution_channel_Corporate,0.0013593832740428846
num__is_agent_booking,0.001333600682953047
cat__country_MYS,0.001332802917703027
cat__country_SVN,0.0013324901032983987
cat__agent_42,0.0013180494424336895
cat__agent_44,0.0013153705015467728
num__is_repeated_guest,0.0013003435283859108
cat__agent_50,0.0012827157330160934
cat__country_PHL,0.0012690946234819585
cat__agent_33,0.0012675440408461624
cat__arrival_date_month_July,0.0012556128154873304
cat__arrival_date_month_November,0.0012357617595758173
num__is_company_booking,0.0012227612974677897
cat__company_408,0.0012110657113582827
cat__agent_150,0.001198901902672595
cat__agent_83,0.0011831523368952069
cat__arrival_date_month_October,0.0011824470610354609
cat__reserved_room_type_A,0.0011641144559952636
cat__country_ROU,0.001135643443604263
cat__company_78,0.0011063452956800064
cat__agent_128,0.0010783321768164642
num__arrival_date_week_number,0.001065790001505657
cat__country_SEN,0.0010613027898682906
cat__country_KAZ,0.0010105548147108629
cat__country_BOL,0.0009842677547684407
cat__agent_92,0.0009542056420482287
cat__company_207,0.0009304514546537944
cat__company_150,0.0009041297592899863
cat__country_ESP,0.0008900826541322975
cat__agent_52,0.0008846632918670324
cat__arrival_date_month_February,0.0008822201662061444
cat__country_GBR,0.0008779564095843742
cat__agent_174,0.0008751836316211858
cat__agent_81,0.0008750313023705874
cat__company_221,0.0008641205456392504
cat__deposit_type_Refundable,0.0008545972975142988
cat__agent_infrequent_sklearn,0.0008511814845603061
cat__country_TWN,0.00084547223336678
cat__company_62,0.0008396226124108142
cat__market_segment_Direct,0.0008310048299409496
cat__company_202,0.0008198413047518929
cat__arrival_date_month_September,0.0008155464228755275
cat__country_MKD,0.0007983284454707866
cat__country_ITA,0.0007832745410059642
cat__country_JOR,0.0007758207257825781
cat__reserved_room_type_E,0.0007726242276583546
cat__agent_1,0.0007699398334931996
cat__company_193,0.0007671736196085052
cat__agent_193,0.0007610454608083284
cat__country_MOZ,0.0007546840145394297
num__previous_cancellations,0.0007538001389273126
cat__agent_326,0.0007411333367596264
cat__company_183,0.0007403943210989837
num__stays_in_week_nights,0.000727155950138089
cat__country_EGY,0.0007054409127210194
cat__company_81,0.0006978658095757431
cat__company_107,0.0006953937942098247
cat__country_EST,0.0006746195012500788
cat__agent_325,0.000665431467550627
num__total_nights,0.0006645851048406785
cat__company_infrequent_sklearn,0.0006640338635625876
cat__customer_type_Transient-Party,0.0006567839065189736
cat__agent_129,0.0006559319719310918
cat__company_120,0.0006439358844627725
cat__country_BIH,0.0006319285534860166
cat__company_365,0.000622840235602073
cat__agent_205,0.0006115330998235541
cat__country_CN,0.0006083418087071789
cat__agent_Missing,0.0006008301011203286
cat__agent_104,0.0005946477194965742
cat__arrival_date_month_March,0.0005811777709472807
cat__agent_187,0.0005697360847349743
cat__country_IND,0.0005410656880641646
cat__agent_177,0.0005255147298202694
cat__agent_64,0.0005212905066955874
cat__arrival_date_month_June,0.0005122206705355174
cat__company_293,0.000473151910469274
cat__agent_235,0.0004668853321762065
cat__company_49,0.0004641558053852584
cat__company_48,0.00045854293153471394
cat__reserved_room_type_D,0.0004511710958028081
cat__company_144,0.0004345812019653351
cat__company_254,0.0004259747383232428
cat__reserved_room_type_C,0.00039645457377358455
cat__company_143,0.00037923058399011266
cat__arrival_date_month_December,0.0003764634353805471
cat__arrival_date_month_April,0.0003657486168385581
cat__agent_60,0.0003595642086790162
num__adults,0.0003477313098234913
num__is_family,0.00033629691591640655
cat__country_ARG,0.00032822311045111
cat__company_153,0.00031712706784824005
cat__agent_10,0.000316724470843547
cat__country_IRL,0.0003118079837308979
cat__agent_41,0.0003063261435386982
num__total_guests,0.00030592467241472476
cat__company_149,0.0003015121753125978
cat__agent_5,0.00027917515334883303
cat__customer_type_Contract,0.00027581824729195665
cat__country_URY,0.00027236010981015075
cat__agent_162,0.000271860131788977
cat__country_HUN,0.00026347823728682093
cat__agent_55,0.00026160370553855733
cat__country_USA,0.0002602959831302953
cat__country_BLR,0.00025086504554399985
num__previous_bookings_not_canceled,0.00024425689958580856
cat__company_186,0.0002396815992653656
cat__company_105,0.00023440724862686113
cat__country_ISR,0.0002321806917614787
cat__country_ARM,0.00022514313444847476
cat__agent_31,0.00022496209571232676
num__stays_in_weekend_nights,0.00021848751832205648
cat__country_LVA,0.00021132121383603353
cat__company_163,0.0001954162688215834
cat__reserved_room_type_G,0.0001890637881971403
cat__company_348,0.00017632217761518484
cat__company_203,0.0001655994145244652
num__booking_changes,0.0001612762915624986
cat__company_37,0.00016067537900182503
num__arrival_date_day_of_month,0.0001564688325750479
cat__country_GRC,0.00013387077942975372
cat__agent_170,0.00012037822239984694
cat__agent_171,0.0001100037356700611
cat__agent_287,0.00010874133489712154
cat__country_MUS,0.00010148578589908014
num__adr,0.00010037832317691861
cat__market_segment_Offline TA/TO,9.278246774807154e-05
cat__country_AZE,8.760362457877276e-05
cat__company_180,8.00678446978926e-05
cat__agent_182,7.969130543361084e-05
cat__arrival_date_month_May,6.657409839779206e-05
num__days_in_waiting_list,5.847391722441413e-05
cat__agent_151,5.496116829941187e-05
cat__reserved_room_type_B,5.423959338888936e-05
cat__country_PER,4.080496853258936e-05
num__children,3.576697253283311e-05
num__babies,3.323472576787627e-05
cat__agent_78,2.399556349934315e-05
num__previous_bookings_total,1.900814099922759e-05
cat__company_47,1.5477127044810342e-05
cat__company_122,9.978841288695234e-06
cat__company_40,7.958055605977976e-06
cat__country_MLT,2.792760017770183e-06
