,precision,recall,f1-score,support
Not canceled,0.8714072415080254,0.6589978828510938,0.7504621072088724,7085.0
Canceled,0.630693977376949,0.8569055036344756,0.7266003345954037,4815.0
accuracy,0.7390756302521009,0.7390756302521009,0.7390756302521009,0.7390756302521009
macro avg,0.7510506094424871,0.7579516932427848,0.7385312209021381,11900.0
weighted avg,0.7740093955591908,0.7390756302521009,0.7408071126598093,11900.0
