,precision,recall,f1-score,support
Not canceled,0.8710639090739706,0.6598447424135497,0.7508833922261484,7085.0
Canceled,0.631103627736109,0.856282450674974,0.7266478674656327,4815.0
accuracy,0.739327731092437,0.739327731092437,0.739327731092437,0.739327731092437
macro avg,0.7510837684050398,0.7580635965442619,0.7387656298458906,11900.0
weighted avg,0.7739707364149954,0.739327731092437,0.7410771693923767,11900.0
