feature,importance
cat__agent_95,0.0018237559970365428
cat__company_148,0.0017674360042425098
cat__arrival_date_month_July,0.00173916001790943
cat__company_9,0.0017388348756692837
cat__agent_215,0.0017137851636135316
cat__country_ALB,0.0017057115037965994
num__is_company_booking,0.0017024909315819128
cat__country_CRI,0.0016916674937949325
cat__arrival_date_month_January,0.0016842802031695762
cat__country_BGD,0.0016838723957184841
cat__country_MAR,0.0016638785809903098
cat__agent_98,0.0016604267388947332
cat__agent_99,0.0016579484129269385
num__is_repeated_guest,0.0016540567191964247
cat__country_MDV,0.0016448803802933223
cat__agent_91,0.0016264975382079445
cat__agent_24,0.0016261601524715464
cat__company_46,0.001611447679599908
num__is_agent_booking,0.0016079464239750014
cat__country_CHL,0.0015887308513129403
cat__agent_133,0.0015676460901485588
cat__company_215,0.0015673516845934165
cat__reserved_room_type_F,0.0015634962295631282
num__arrival_date_week_number,0.0015530409366413778
cat__company_263,0.0015226199140305164
cat__company_91,0.0015221879038422824
cat__company_405,0.001516457735209633
cat__market_segment_Aviation,0.0015141692256777793
cat__agent_281,0.001497152389971125
cat__company_197,0.0014851812013594167
cat__agent_153,0.0014649144064051087
cat__agent_53,0.0014198287368294034
cat__market_segment_Online TA,0.0013999890134966885
cat__company_227,0.0013967700945654788
cat__agent_15,0.0013958059754590984
cat__country_SVN,0.0013953033714922227
cat__agent_112,0.0013621074719281597
cat__agent_82,0.0013540721540367831
cat__country_CMR,0.001275411498105508
cat__agent_74,0.0012570290767505894
cat__agent_10,0.0012220890099997627
cat__reserved_room_type_A,0.0012155700519309242
cat__arrival_date_month_October,0.001184788846555607
cat__agent_34,0.0011624725973970705
cat__country_LBN,0.0011566835715304134
cat__arrival_date_month_November,0.0011564058068982532
cat__country_ESP,0.0011496267418213552
cat__agent_83,0.0011436530282448625
cat__market_segment_Direct,0.0011361179046391642
cat__country_GBR,0.0011209099920875638
cat__country_ROU,0.0011177450521194887
cat__company_127,0.0011133446663660605
cat__country_PHL,0.001069665280382619
cat__reserved_room_type_E,0.0010581368073991782
cat__company_67,0.0010579283099637665
cat__country_ITA,0.0010550826691649725
cat__country_MYS,0.0010173889758886155
cat__company_407,0.0009924781072962294
cat__agent_50,0.0009824771930301995
cat__arrival_date_month_March,0.0009349668486739612
cat__agent_150,0.0009253856756914519
num__previous_cancellations,0.0009220216086966687
cat__company_408,0.0009166482981073751
cat__agent_33,0.0009124890916092775
num__stays_in_week_nights,0.0009098217781080465
cat__distribution_channel_TA/TO,0.0008921753999843979
cat__agent_128,0.0008851422453280852
cat__country_TWN,0.0008530636834842662
num__total_nights,0.0008516515176958535
cat__customer_type_Transient-Party,0.0008444046941086794
cat__country_SEN,0.0008245436970011626
cat__agent_44,0.0008218078858804236
cat__agent_104,0.000811821677512332
cat__arrival_date_month_September,0.0007880495682471012
cat__company_78,0.000778575066778053
cat__agent_92,0.0007661595325607292
cat__country_KAZ,0.000761796133476461
cat__arrival_date_month_February,0.0007602111432469599
cat__customer_type_Contract,0.0007593929023731535
cat__company_202,0.0007443384924625656
cat__country_BOL,0.0007413634761482088
cat__agent_326,0.0007176509715024462
cat__company_365,0.0007167294920148301
cat__agent_1,0.0007082186585739181
cat__company_150,0.0007072221097378085
cat__agent_Missing,0.0006831052519838671
cat__deposit_type_Refundable,0.0006699007134855674
cat__arrival_date_month_June,0.0006568771717331929
cat__country_EST,0.0006490839208272019
cat__company_207,0.000628414764584228
cat__agent_193,0.000625168433255569
cat__company_221,0.0006003890469709569
cat__company_193,0.0005985410338022848
cat__country_JOR,0.0005970693982407492
cat__agent_81,0.0005849803403825287
cat__company_62,0.0005840194759637371
cat__company_183,0.0005592607394167708
cat__country_EGY,0.0005475567207829116
cat__agent_325,0.0005330470680893112
cat__arrival_date_month_April,0.0005323434022438544
cat__country_MOZ,0.0005274595107284216
cat__country_BIH,0.0005108577585638109
num__is_family,0.000510213246147113
