,precision,recall,f1-score,support
Not canceled,0.8721564203797706,0.6547635850388144,0.7479845211222187,7085.0
Canceled,0.6283239629235678,0.8587746625129803,0.7256932256932257,4815.0
accuracy,0.7373109243697479,0.7373109243697479,0.7373109243697479,0.7373109243697479
macro avg,0.7502401916516692,0.7567691237758973,0.7368388734077223,11900.0
weighted avg,0.7734964806611475,0.7373109243697479,0.7389649759549414,11900.0
