model,pr_auc,roc_auc,precision,recall,f1,threshold,rows,cancellation_rate
random_forest,0.890688,0.903068,0.73653,0.866604,0.79629,0.378402,11899,0.445416
logistic_regression,0.869907,0.872604,0.727488,0.812453,0.767626,0.542519,11899,0.445416
