,precision,recall,f1-score,support
Not canceled,0.8709141274238227,0.6656316160903317,0.75456,7085.0
Canceled,0.6346954510408636,0.854828660436137,0.728495575221239,4815.0
accuracy,0.7421848739495799,0.7421848739495799,0.7421848739495799,0.7421848739495799
macro avg,0.7528047892323431,0.7602301382632344,0.7415277876106194,11900.0
weighted avg,0.7753348898789532,0.7421848739495799,0.7440137642596861,11900.0
